#CHROM	START	END	LOCUS	SYMBOL	strand	annotation
Chr1	335809	371191	LOC_Os01g01689	-	+	phosphatidylinositol_3-_and_4-kinase_family_protein,expressed
Chr1	371831	374470	LOC_Os01g01700	-	+	anaphase-promoting_complex_subunit_11,putative,expressed
Chr1	374728	380716	LOC_Os01g01710	OsDXR	-	1-deoxy-D-xylulose_5-phosphate_reductoisomerase,chloroplast_precursor,putative,expressed
Chr1	383047	386701	LOC_Os01g01720	-	-	pex14,putative,expressed
Chr1	390051	390623	LOC_Os01g01730	-	+	serine%2Farginine_repetitive_matrix_protein_2,putative,expressed
Chr1	392081	396651	LOC_Os01g01740	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	403692	404402	LOC_Os01g01760	-	-	expressed_protein
Chr1	409700	410818	LOC_Os01g01770	-	+	ZOS1-01_-_C2H2_zinc_finger_protein,expressed
Chr1	412579	415830	LOC_Os01g01780	-	+	exostosin_family_protein,putative,expressed
Chr1	416241	420497	LOC_Os01g01790	-	-	expressed_protein
Chr1	422462	431692	LOC_Os01g01800	-	+	expressed_protein
Chr1	432435	432752	LOC_Os01g01810	-	-	expressed_protein
Chr1	437613	449137	LOC_Os01g01830	-	+	OsPOP1_-_Putative_Prolyl_Oligopeptidase_homologue,expressed
Chr1	455512	460716	LOC_Os01g01840	-	+	helix-loop-helix_DNA-binding_domain_containing_protein,expressed
Chr1	478325	481166	LOC_Os01g01870	-	+	helix-loop-helix_DNA-binding_domain_containing_protein,expressed
Chr1	482332	482956	LOC_Os01g01880	-	+	expressed_protein
Chr1	483885	486492	LOC_Os01g01890	-	+	expressed_protein
Chr1	496066	497368	LOC_Os01g01910	-	+	expressed_protein
Chr1	498454	506264	LOC_Os01g01920	WFSL1	+	HD_domain_containing_protein_2,putative,expressed
Chr1	507270	509225	LOC_Os01g01925	-	+	expressed_protein
Chr1	509387	510112	LOC_Os01g01930	-	+	expressed_protein
Chr1	510752	512159	LOC_Os01g01940	-	+	expressed_protein
Chr1	512840	513502	LOC_Os01g01950	-	+	expressed_protein
Chr1	513890	522448	LOC_Os01g01960	-	-	transcriptional_repressor,putative,expressed
Chr1	524579	528002	LOC_Os01g01970	-	-	expressed_protein
Chr1	529367	530008	LOC_Os01g01980	-	-	expressed_protein
Chr1	533786	534139	LOC_Os01g01990	-	+	expressed_protein
Chr1	537710	543355	LOC_Os01g02000	OsPHO1;1	+	phosphate_transporter_1,putative,expressed
Chr1	542987	544510	LOC_Os01g02010	-	-	expressed_protein
Chr1	549108	553287	LOC_Os01g02020	-	+	acetyl-CoA_acetyltransferase,cytosolic,putative,expressed
Chr1	562056	572138	LOC_Os01g02050	-	-	phosphoenolpyruvate_carboxylase,putative,expressed
Chr1	576443	579569	LOC_Os01g02060	-	-	TOO_MANY_MOUTHS_precursor,putative,expressed
Chr1	585963	586445	LOC_Os01g02070	-	+	invertase%2Fpectin_methylesterase_inhibitor_family_protein,putative,expressed
Chr1	586414	587780	LOC_Os01g02080	-	-	peptidyl-prolyl_cis-trans_isomerase,putative,expressed
Chr1	588863	593759	LOC_Os01g02090	-	+	expressed_protein
Chr1	603643	605643	LOC_Os01g02110	-	-	helix-loop-helix_DNA-binding_domain_containing_protein,expressed
Chr1	612564	615650	LOC_Os01g02120	-	+	osMFT2__MFT-Like2_homologous_to_Mother_of_FT_and_TFL1__gene%3B_contains_Pfam_profile_PF01161%3A_Phosphatidylethanolamine-binding_protein,expressed
Chr1	620572	621516	LOC_Os01g02130	-	-	expressed_protein
Chr1	624087	624613	LOC_Os01g02139	-	+	expressed_protein
Chr1	625976	627024	LOC_Os01g02150	-	+	sulfated_surface_glycoprotein_185_precursor,putative,expressed
Chr1	632093	632913	LOC_Os01g02160	-	+	hydroxyproline-rich_glycoprotein_family_protein,putative,expressed
Chr1	634011	639309	LOC_Os01g02170	-	-	expressed_protein
Chr1	640588	644269	LOC_Os01g02180	-	-	expressed_protein
Chr1	645574	646723	LOC_Os01g02190	-	-	aquaporin_protein,putative,expressed
Chr1	648128	651881	LOC_Os01g02200	-	-	armadillo%2Fbeta-catenin_repeat_family_protein,putative,expressed
Chr1	689792	694013	LOC_Os01g02250	-	+	RGA-1,putative,expressed
Chr1	700533	705670	LOC_Os01g02270	-	-	expressed_protein
Chr1	707340	714322	LOC_Os01g02280	-	+	Leucine_Rich_Repeat_family_protein,expressed
Chr1	720629	723317	LOC_Os01g02290	-	-	Ser%2FThr_receptor-like_kinase,putative,expressed
Chr1	723693	726321	LOC_Os01g02300	-	+	receptor_kinase_ORK10,putative,expressed
Chr1	728977	730930	LOC_Os01g02310	-	+	expressed_protein
Chr1	731149	738020	LOC_Os01g02320	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	738281	741794	LOC_Os01g02334	-	-	expressed_protein
Chr1	742272	745156	LOC_Os01g02350	-	-	receptor-like_kinase_ARK1AS,putative,expressed
Chr1	745452	748945	LOC_Os01g02360	-	+	resistance-related_receptor-like_kinase,putative,expressed
Chr1	752080	754992	LOC_Os01g02370	-	-	receptor-like_kinase_ARK1AS,putative,expressed
Chr1	767169	769681	LOC_Os01g02390	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	770332	773851	LOC_Os01g02400	-	+	protein_kinase_domain_containing_protein,expressed
Chr1	774727	779237	LOC_Os01g02410	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	781442	784424	LOC_Os01g02420	-	+	protein_kinase_domain_containing_protein,expressed
Chr1	786171	788619	LOC_Os01g02430	-	-	TAK14,putative,expressed
Chr1	789967	792411	LOC_Os01g02440	-	+	Ser%2FThr_receptor-like_kinase,putative,expressed
Chr1	794499	795413	LOC_Os01g02460	-	+	receptor_kinase_LRK10,putative,expressed
Chr1	796842	797533	LOC_Os01g02470	-	+	expressed_protein
Chr1	804084	806932	LOC_Os01g02490	-	-	expressed_protein
Chr1	807850	809721	LOC_Os01g02500	-	+	glutamyl-tRNA_amidotransferase,putative,expressed
Chr1	839809	842757	LOC_Os01g02550	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	843530	847454	LOC_Os01g02560	-	+	Ser%2FThr_receptor-like_kinase,putative,expressed
Chr1	852249	854568	LOC_Os01g02570	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	857957	860583	LOC_Os01g02580	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	862579	865253	LOC_Os01g02590	-	-	receptor-like_kinase,putative,expressed
Chr1	865966	869063	LOC_Os01g02600	-	+	Ser%2FThr_receptor-like_kinase,putative,expressed
Chr1	870318	874817	LOC_Os01g02610	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	911735	914246	LOC_Os01g02680	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	915639	919674	LOC_Os01g02690	-	+	resistance-related_receptor-like_kinase,putative,expressed
Chr1	920992	923630	LOC_Os01g02700	-	-	protein_kinase_domain_containing_protein,expressed
Chr1	924451	925175	LOC_Os01g02710	-	+	LRk-type_protein,putative,expressed
Chr1	929883	934914	LOC_Os01g02720	LMM5.1|SPL33	-	elongation_factor_Tu,putative,expressed
Chr1	935574	938367	LOC_Os01g02730	-	-	TAK14,putative,expressed
Chr1	954075	956817	LOC_Os01g02750	-	+	protein_kinase_domain_containing_protein,expressed
Chr1	957907	960626	LOC_Os01g02760	-	-	receptor-like_kinase,putative,expressed
Chr1	961681	965151	LOC_Os01g02770	-	+	resistance-related_receptor-like_kinase,putative,expressed
Chr1	969308	973327	LOC_Os01g02780	-	-	TAK33,putative,expressed
Chr1	976766	980431	LOC_Os01g02790	-	+	protein_kinase_domain_containing_protein,expressed
Chr1	984301	986760	LOC_Os01g02800	-	-	receptor-like_kinase_ARK1AS,putative,expressed
Chr1	987591	990647	LOC_Os01g02810	-	+	resistance-related_receptor-like_kinase,putative,expressed
Chr1	994710	997262	LOC_Os01g02830	-	-	receptor-like_kinase_ARK1AS,putative,expressed
Chr1	997963	1000997	LOC_Os01g02840	-	+	resistance-related_receptor-like_kinase,putative,expressed
Chr1	1001292	1001770	LOC_Os01g02850	-	-	expressed_protein
Chr1	1002459	1007068	LOC_Os01g02860	-	-	expressed_protein
Chr1	1010259	1012410	LOC_Os01g02870	-	+	auxin-induced_protein_5NG4,putative,expressed
Chr1	1016065	1019545	LOC_Os01g02880	-	+	fructose-bisphospate_aldolase_isozyme,putative,expressed
Chr1	1024184	1030112	LOC_Os01g02884	-	+	ATP-dependent_RNA_helicase_DHX36,putative,expressed
Chr1	1046604	1053166	LOC_Os01g02890	OsSUI1|OsPSS	+	phosphatidylserine_synthase,putative,expressed
Chr1	1057137	1059856	LOC_Os01g02900	-	-	glycosyltransferase,putative,expressed
Chr1	1066448	1069826	LOC_Os01g02910	-	-	glycosyltransferase,putative,expressed
Chr1	1071962	1075030	LOC_Os01g02920	-	-	glycosyltransferase_protein,putative,expressed
Chr1	1078511	1081702	LOC_Os01g02930	-	-	glycosyltransferase_protein,putative,expressed
Chr1	1089743	1093528	LOC_Os01g02940	-	-	glycosyltransferase_protein,putative,expressed
Chr1	1097580	1098942	LOC_Os01g02950	-	-	expressed_protein
Chr1	1103782	1106890	LOC_Os01g02960	-	+	expressed_protein
Chr1	1120319	1126749	LOC_Os01g02980	-	+	expressed_protein
Chr1	1137241	1137624	LOC_Os01g02990	-	-	expressed_protein
Chr1	1143557	1144497	LOC_Os01g03010	-	-	expressed_protein
Chr1	1145829	1155094	LOC_Os01g03020	-	-	tRNA_synthetase_class_I,putative,expressed
Chr1	1155213	1158601	LOC_Os01g03030	-	-	alanyl-tRNA_synthetase,putative,expressed
Chr1	1160152	1164635	LOC_Os01g03040	-	-	expressed_protein
Chr1	1165737	1168415	LOC_Os01g03050	-	+	fruit_protein_PKIWI502,putative,expressed
Chr1	1168647	1171130	LOC_Os01g03060	-	-	splicing_factor,putative,expressed
Chr1	1181158	1182158	LOC_Os01g03080	-	+	expressed_protein
Chr1	1183394	1186707	LOC_Os01g03090	-	+	methyltransferase,putative,expressed
Chr1	1186260	1191013	LOC_Os01g03100	-	-	protein_binding_protein,putative,expressed
Chr1	1198687	1203506	LOC_Os01g03110	-	-	expressed_protein
Chr1	1217006	1218122	LOC_Os01g03130	-	-	expressed_protein
Chr1	1222905	1230507	LOC_Os01g03144	-	-	white-brown_complex_homolog_protein_7,putative,expressed
Chr1	1232473	1236942	LOC_Os01g03160	-	+	xylosyltransferase,putative,expressed
Chr1	1238623	1242351	LOC_Os01g03170	-	+	seven_in_absentia_protein_family_protein,expressed
Chr1	1254028	1255635	LOC_Os01g03190	-	+	expressed_protein
Chr1	1264356	1265273	LOC_Os01g03210	-	+	expressed_protein
Chr1	1301527	1302921	LOC_Os01g03220	-	+	expressed_protein
Chr1	1313236	1314274	LOC_Os01g03240	-	+	conserved_hypothetical_protein
Chr1	1315268	1315477	LOC_Os01g03250	-	+	hypothetical_protein
Chr1	1315823	1319863	LOC_Os01g03260	-	-	expressed_protein
Chr1	1328172	1329169	LOC_Os01g03270	-	+	expressed_protein
Chr1	1330804	1332398	LOC_Os01g03280	-	-	hypothetical_protein
Chr1	1333752	1334739	LOC_Os01g03290	-	-	seven_in_absentia_protein_family_domain_containing_protein,expressed
Chr1	1335864	1337407	LOC_Os01g03300	-	+	seven_in_absentia_protein_family_protein,expressed
Chr1	1338229	1339139	LOC_Os01g03310	-	-	BBTI1_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1341319	1342277	LOC_Os01g03320	-	-	BBTI2_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1344557	1346419	LOC_Os01g03330	-	-	BBTI3_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1347567	1348786	LOC_Os01g03340	-	-	BBTI4_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1350820	1351107	LOC_Os01g03350	-	+	expressed_protein
Chr1	1353629	1354802	LOC_Os01g03360	OsBBPI	-	BBTI5_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1356601	1361257	LOC_Os01g03370	-	-	senescence-induced_receptor-like_serine%2Fthreonine-protein_kinase_precursor,putative,expressed
Chr1	1363516	1364303	LOC_Os01g03380	-	-	BBTI6_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,putative,expressed
Chr1	1365508	1366503	LOC_Os01g03390	-	-	BBTI7_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1368891	1369792	LOC_Os01g03400	-	+	E3_ubiquitin-protein_ligase_SINA-like_2,putative
Chr1	1372963	1374138	LOC_Os01g03410	-	+	ubiquitin,putative,expressed
Chr1	1375169	1377242	LOC_Os01g03420	-	+	seven_in_absentia_protein_family_protein,putative,expressed
Chr1	1379691	1382143	LOC_Os01g03429	-	+	expressed_protein
Chr1	1395980	1396769	LOC_Os01g03464	-	-	expressed_protein
Chr1	1401504	1403598	LOC_Os01g03480	-	-	expressed_protein
Chr1	1404155	1407187	LOC_Os01g03490	-	+	heavy-metal-associated_domain-containing_protein,putative,expressed
Chr1	1410987	1413093	LOC_Os01g03500	-	-	expressed_protein
Chr1	1413839	1419043	LOC_Os01g03510	OsAIP1	+	WD_domain,G-beta_repeat_domain_containing_protein,expressed
Chr1	1421693	1428049	LOC_Os01g03520	-	+	ubiquitin_conjugating_enzyme_protein,putative,expressed
Chr1	1433033	1436811	LOC_Os01g03530	-	+	multicopper_oxidase_domain_containing_protein,expressed
Chr1	1437163	1445689	LOC_Os01g03549	-	+	multi-copper_oxidase_type_I_family_protein,putative,expressed
Chr1	1446849	1450473	LOC_Os01g03570	-	+	transcription_factor_X1,putative,expressed
Chr1	1486400	1488897	LOC_Os01g03620	-	+	multicopper_oxidase_domain_containing_protein,expressed
Chr1	1490473	1492684	LOC_Os01g03630	OsLPR3	-	multicopper_oxidase_domain_containing_protein,expressed
Chr1	1497240	1500609	LOC_Os01g03640	OsLPR5	-	multicopper_oxidase_domain_containing_protein,expressed
Chr1	1503993	1508057	LOC_Os01g03650	OsNAP6	-	sufB%2FsufD_domain_containing_protein,putative,expressed
Chr1	1508235	1512752	LOC_Os01g03660	-	+	MYB_family_transcription_factor,putative,expressed
Chr1	1513136	1514467	LOC_Os01g03670	-	+	dihydroflavonol-4-reductase,putative,expressed
Chr1	1515837	1516832	LOC_Os01g03680	-	+	BBTI8_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1518245	1521644	LOC_Os01g03690	-	+	TKL_IRAK_DUF26-lg.1_-_DUF26_kinases_have_homology_to_DUF26_containing_loci,expressed
Chr1	1534135	1539627	LOC_Os01g03710	-	+	mannose-6-phosphate_isomerase,putative,expressed
Chr1	1549229	1551011	LOC_Os01g03720	MYB1	-	MYB_family_transcription_factor,putative,expressed
Chr1	1562612	1566554	LOC_Os01g03740	-	-	nuclease_PA3,putative,expressed
Chr1	1566138	1569472	LOC_Os01g03730	-	+	nuclease_PA3,putative,expressed
Chr1	1569585	1570939	LOC_Os01g03750	MHZ4	-	expressed_protein
Chr1	1571420	1576753	LOC_Os01g03760	-	-	expressed_protein
Chr1	1580843	1582345	LOC_Os01g03770	-	-	hypothetical_protein
Chr1	1597486	1598510	LOC_Os01g03810	-	-	expressed_protein
Chr1	1597486	1604610	LOC_Os01g03820	-	+	C2_domain_containing_protein,putative,expressed
Chr1	1625159	1626771	LOC_Os01g03840	SL1|OsJAG	+	ZOS1-02_-_C2H2_zinc_finger_protein,expressed
Chr1	1641234	1644237	LOC_Os01g03870	-	-	expressed_protein
Chr1	1657315	1658388	LOC_Os01g03890	-	+	DUF260_domain_containing_protein,putative,expressed
Chr1	1670322	1670997	LOC_Os01g03900	-	-	expressed_protein
Chr1	1673010	1680632	LOC_Os01g03914	OsMTP9	-	cation_efflux_family_protein,putative,expressed
Chr1	1681410	1681813	LOC_Os01g03930	-	-	expressed_protein
Chr1	1684741	1685880	LOC_Os01g03940	NRR	-	expressed_protein
Chr1	1698203	1703090	LOC_Os01g03950	-	+	glycosyl_hydrolase,family_31,putative,expressed
Chr1	1707539	1707939	LOC_Os01g03960	-	+	expressed_protein
Chr1	1710239	1710550	LOC_Os01g03970	-	-	expressed_protein
Chr1	1711930	1712947	LOC_Os01g03980	-	-	expressed_protein
Chr1	1718965	1719370	LOC_Os01g03989	-	+	expressed_protein
Chr1	1731553	1731945	LOC_Os01g04000	-	-	hypothetical_protein
Chr1	1733867	1738307	LOC_Os01g04005	-	-	expressed_protein
Chr1	1738965	1739492	LOC_Os01g04010	-	+	expressed_protein
Chr1	1746416	1748549	LOC_Os01g04020	-	+	AP2_domain_containing_protein,expressed
Chr1	1754332	1757728	LOC_Os01g04030	-	+	signal_peptidase_complex_subunit_3,putative,expressed
Chr1	1757812	1758730	LOC_Os01g04040	-	-	BBTI11_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,putative,expressed
Chr1	1760140	1761135	LOC_Os01g04050	IAI2	-	BBTI12_-_Bowman-Birk_type_bran_trypsin_inhibitor_precursor,expressed
Chr1	1765034	1768669	LOC_Os01g04070	-	+	verticillium_wilt_disease_resistance_protein,putative,expressed
Chr1	1771369	1772410	LOC_Os01g04080	-	-	expressed_protein
Chr1	1775917	1778105	LOC_Os01g04090	-	-	expressed_protein
Chr1	1781075	1782386	LOC_Os01g04100	-	+	expressed_protein
Chr1	1787870	1791498	LOC_Os01g04110	-	-	mediator_of_RNA_polymerase_II_transcription_subunit_22,putative,expressed
Chr1	1801924	1806267	LOC_Os01g04120	-	-	ZOS1-03_-_C2H2_zinc_finger_protein,expressed
Chr1	1815769	1817554	LOC_Os01g04130	-	-	peptidyl-tRNA_hydrolase,mitochondrial_precursor_protein,putative,expressed
Chr1	1834110	1837733	LOC_Os01g04160	-	+	expressed_protein
Chr1	1838170	1839194	LOC_Os01g04170	-	-	expressed_protein
Chr1	1843814	1849186	LOC_Os01g04190	OsPGLCT	+	transporter_family_protein,putative,expressed
Chr1	1849834	1856303	LOC_Os01g04200	-	+	metallo-beta-lactamase_family_protein,putative,expressed
Chr1	1857104	1858452	LOC_Os01g04210	-	+	DNA_binding_protein,putative,expressed
Chr1	1864478	1866109	LOC_Os01g04220	-	+	DNA_binding_protein,putative,expressed
Chr1	1867936	1870390	LOC_Os01g04230	-	+	inactive_receptor_kinase_At2g26730_precursor,putative,expressed
Chr1	1876913	1879903	LOC_Os01g04250	-	+	expressed_protein
Chr1	1888524	1892298	LOC_Os01g04260	OsSTE1|OsDWF7	+	fatty_acid_hydroxylase,putative,expressed
Chr1	1897077	1897316	LOC_Os01g04270	-	-	hypothetical_protein
Chr1	1902736	1905247	LOC_Os01g04280	-	+	calmodulin_binding_protein,putative,expressed
Chr1	1906978	1909667	LOC_Os01g04290	-	-	glycosyl_hydrolase_family_10_protein,putative,expressed
Chr1	1912561	1915094	LOC_Os01g04300	-	-	glycosyl_hydrolase_family_10_protein,putative,expressed
Chr1	1928166	1930290	LOC_Os01g04324	-	+	expressed_protein
Chr1	1930994	1931904	LOC_Os01g04330	OsCML16	-	OsCML16_-_Calmodulin-related_calcium_sensor_protein,expressed
Chr1	1934117	1935048	LOC_Os01g04340	-	+	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr1	1941003	1941953	LOC_Os01g04350	-	+	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr1	1944247	1945035	LOC_Os01g04360	OsHSP16.9C	-	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr1	1948737	1949587	LOC_Os01g04370	Oshsp16.9	-	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr1	1951928	1952771	LOC_Os01g04380	OsHSP17.0	+	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr1	1955148	1955925	LOC_Os01g04390	-	-	expressed_protein
Chr1	1957777	1967451	LOC_Os01g04409	-	-	OsWAK1_-_OsWAK_receptor-like_cytoplasmic_kinase_OsWAK-RLCK,expressed
Chr1	1968323	1970538	LOC_Os01g04430	-	-	expressed_protein
Chr1	1973699	1977191	LOC_Os01g04440	-	-	expressed_protein
Chr1	1977423	1982484	LOC_Os01g04450	-	-	OsWAK2_-_OsWAK_receptor-like_cytoplasmic_kinase_OsWAK-RLCK,expressed
Chr1	1984267	1986394	LOC_Os01g04460	-	+	Ser%2FThr_protein_kinase,putative,expressed
Chr1	1988731	1991248	LOC_Os01g04470	-	+	expressed_protein
Chr1	1993515	1996857	LOC_Os01g04480	-	+	expressed_protein
Chr1	1998427	2002855	LOC_Os01g04490	-	+	Ser%2FThr_protein_kinase,putative,expressed
Chr1	2003219	2003916	LOC_Os01g04500	-	-	expressed_protein
Chr1	2006152	2007254	LOC_Os01g04510	-	-	expressed_protein
Chr1	2014821	2018057	LOC_Os01g04520	-	+	Ser%2FThr_protein_kinase,putative,expressed
Chr1	2021415	2022167	LOC_Os01g04530	-	+	expressed_protein
Chr1	2023879	2026177	LOC_Os01g04540	-	+	serine%2Fthreonine-protein_kinase_At1g18390_precursor,putative,expressed
Chr1	2036118	2038198	LOC_Os01g04550	-	+	expressed_protein
Chr1	2041300	2042770	LOC_Os01g04560	-	+	expressed_protein
Chr1	2048717	2052521	LOC_Os01g04570	-	+	Ser%2FThr_protein_kinase,putative,expressed
Chr1	2053583	2057638	LOC_Os01g04580	-	+	Ser%2FThr_protein_kinase,putative,expressed
Chr1	2059309	2062277	LOC_Os01g04590	-	+	expressed_protein
Chr1	2063612	2066083	LOC_Os01g04600	-	-	expressed_protein
Chr1	2068588	2069263	LOC_Os01g04610	-	+	hypothetical_protein
Chr1	2074753	2077903	LOC_Os01g04630	-	-	muconate_cycloisomerase,putative,expressed
Chr1	2080105	2081540	LOC_Os01g04640	-	+	reticulon_domain_containing_protein,putative,expressed
Chr1	2083681	2087226	LOC_Os01g04650	-	-	PB1_domain_containing_protein,expressed
Chr1	2097192	2100694	LOC_Os01g04660	-	+	lipid_phosphatase_protein,putative,expressed
Chr1	2101874	2102672	LOC_Os01g04670	-	-	expressed_protein
Chr1	2108947	2109635	LOC_Os01g04690	-	-	expressed_protein
Chr1	2111026	2111651	LOC_Os01g04699	-	-	expressed_protein
Chr1	2120381	2122366	LOC_Os01g04710	-	+	aspartic_proteinase,putative,expressed
Chr1	2130798	2137310	LOC_Os01g04720	-	+	leucine-rich_repeat_protein-related,putative,expressed
Chr1	2137763	2138996	LOC_Os01g04730	-	+	ribosomal_protein_L24,putative,expressed
Chr1	2140865	2142091	LOC_Os01g04740	-	-	hypothetical_protein
Chr1	2154326	2155994	LOC_Os01g04750	-	+	B3_DNA_binding_domain_containing_protein,expressed
Chr1	2162723	2162971	LOC_Os01g04760	-	-	hypothetical_protein
Chr1	2202264	2203860	LOC_Os01g04800	OsRAV2	+	B3_DNA_binding_domain_containing_protein,expressed
Chr1	2215586	2222837	LOC_Os01g04814	OsSKD1	-	vacuolar_protein_sorting-associating_protein_4B,putative,expressed
Chr1	2224683	2225060	LOC_Os01g04830	-	+	expressed_protein
Chr1	2226000	2229526	LOC_Os01g04840	-	-	vacuolar_protein_sorting-associating_protein_4B,putative,expressed
Chr1	2245732	2250576	LOC_Os01g04860	-	+	DUF647_domain_containing_protein,putative,expressed
Chr1	2250820	2255073	LOC_Os01g04870	-	-	WD_domain,G-beta_repeat_domain_containing_protein,expressed
